Compound Score,Date,Negative Score,Neutral Score,Positive Score,Team,Tweet Ago,Tweet text
0.0,Sun Mar 04 12:02:02 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,@S04Esports @VizicsacsiLoL a unicorn never forgets 💕
0.9369,Sat Mar 03 23:17:43 +0000 2018,0.0,0.569,0.431,@UnicornsOfLove,10,"RT @UOL_Totoro: I am so happy to win today.
But it's a more important game going forward.
I'll show you a more focused game.
감사합니다 !!~"
0.7351,Sat Mar 03 23:17:35 +0000 2018,0.0,0.744,0.256,@UnicornsOfLove,10,"RT @ESPN_Esports: .@G2esports secure a win over Giants while @UnicornsOfLove stomp through standings.

This and more in our EU LCS recap:…"
0.0,Sat Mar 03 23:17:19 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,RT @UOLdad: After movating me thr last 30 years my wife took over the head coach position at @UnicornsOfLove https://t.co/plFdEhv9Vn
0.4926,Sat Mar 03 23:17:09 +0000 2018,0.0,0.842,0.158,@UnicornsOfLove,10,"RT @WhiteKnight108: another 2-0 week Poggers, good to see that practice is paying off, playoffs race is on! 😎"
0.0,Sat Mar 03 18:48:45 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,@bgreg0615 @Stroisel @S04Esports 🏈
0.7263,Sat Mar 03 18:38:42 +0000 2018,0.0,0.559,0.441,@UnicornsOfLove,10,RT @KoldLoL: Another 2-0 week 💪 Playoffs dream is still alive! Gg @S04Esports
0.7088,Sat Mar 03 18:38:14 +0000 2018,0.0,0.772,0.228,@UnicornsOfLove,10,"RT @LoLEsportsStats: .@SamuxLoL brought out the big guns in his game vs S04, helping to take @UnicornsOfLove to a 5 game winning streak!

C…"
0.8268,Sat Mar 03 18:34:37 +0000 2018,0.0,0.446,0.554,@UnicornsOfLove,10,"Keeping the playoff dream alive, one win at a time! 💕 https://t.co/EJcIP6pAzv"
0.5707,Sat Mar 03 18:11:40 +0000 2018,0.0,0.802,0.198,@UnicornsOfLove,10,RT @lolesports: The @UnicornsOfLove take down @S04Esports and go on a 5-game winning streak! #UOLWIN #EULCS https://t.co/BR3zptCFs2
