Compound Score,Date,Negative Score,Neutral Score,Positive Score,Team,Tweet Ago,Tweet text
0.7717,Wed Mar 28 18:18:01 +0000 2018,0.0,0.472,0.528,@clgaming,1,Happy #ManateeAppreciationDay to our favorite Manatee. 😊#URF https://t.co/cVhPpW1VOD
0.5093,Wed Mar 28 18:03:40 +0000 2018,0.0,0.752,0.248,@clgaming,1,"RT @fineokay_: we are streaming. i have some new codes haha!
https://t.co/ZeXK8F4r5C"
0.508,Wed Mar 28 01:15:43 +0000 2018,0.0,0.81,0.19,@clgaming,1,"WHOAA!  @Stixxay and @Biofrostlol are both currently streaming. Come support the boys! 🙏

Bio ➡️… https://t.co/Dh9z3emYAU"
0.3365,Tue Mar 27 23:14:18 +0000 2018,0.0,0.854,0.146,@clgaming,1,"Whaaaat! 🙌 Come watch our top lane carry stream some high level League! 

➡️ https://t.co/iMtPwD89GX https://t.co/E2gNxVhkxP"
0.3182,Tue Mar 27 22:32:50 +0000 2018,0.0,0.909,0.091,@clgaming,1,.@Hurriwind sat down with us and told us his goals for 2018. Be sure to catch our Smite team back in action tomorro… https://t.co/JSvARpEWzz
0.4559,Tue Mar 27 21:04:36 +0000 2018,0.0,0.843,0.157,@clgaming,1,"#CLGFAM get in here! Our Solo Laner @fineokay_ is currently streaming some ranked play! 

➡️ https://t.co/uIvs29RDgB https://t.co/BkjCHiIte0"
0.3182,Tue Mar 27 20:18:58 +0000 2018,0.0,0.913,0.087,@clgaming,1,The girls are on their way to Denmark to compete in Copenhagen Games. Be sure to catch up with them in CLG Roads: A… https://t.co/7YlH1Paz9b
0.4019,Tue Mar 27 17:40:43 +0000 2018,0.0,0.838,0.162,@clgaming,1,"Come support our Mid Laner @Huhi. He is currently streaming League of Legends. 😁

📺 https://t.co/huCg64Ek5J https://t.co/pcnf0RsAVW"
0.6369,Mon Mar 26 22:36:04 +0000 2018,0.0,0.776,0.224,@clgaming,1,".@DarshanU discusses his thoughts on how the off-season will help the team get ready for the Summer Split. 

Watch… https://t.co/1jTVTdieuL"
0.0,Mon Mar 26 19:30:01 +0000 2018,0.0,1.0,0.0,@clgaming,1,"Which superheroes would your teammates be? 🤔😂

Get to know @BoxForEngland in this week’s episode of CLG 20 Question… https://t.co/oNR1WskNoT"
0.0,Mon Mar 26 18:43:27 +0000 2018,0.0,1.0,0.0,@clgaming,1,"Get in here! @TheRealLaXInG is currently streaming some R6! 👀

📺 https://t.co/ULDuLdDatf https://t.co/1IjjQSGDc7"
0.7073,Mon Mar 26 18:35:57 +0000 2018,0.0,0.766,0.234,@clgaming,1,"#ICYMI Go watch this awesome mini documentary on @gsmVoiD’s path to pro player. 

Watch ➡️ https://t.co/VzQ89EZyyk https://t.co/2Mx8ScOLTN"
0.6239,Mon Mar 26 18:10:45 +0000 2018,0.0,0.746,0.254,@clgaming,1,RT @fineokay_: fineokay - CHIRON ADC! (how did we win this...): https://t.co/i110q0r5S8 via @YouTube
0.0,Mon Mar 26 17:46:17 +0000 2018,0.0,1.0,0.0,@clgaming,1,RT @NolanEvans7: Need a primer for @SpacestationGG's week two sets against @clgaming and @Luminosity? Here is my article breaking down the…
0.8674,Mon Mar 26 00:47:33 +0000 2018,0.0,0.661,0.339,@clgaming,1,"RT @BobbySiege: Always proud of my boys, but their play this weekend at #FullBloom4 was nothing short of stellar. 
🥇Doubles Champions

#CLG…"
0.8047,Mon Mar 26 00:46:16 +0000 2018,0.0,0.775,0.225,@clgaming,1,"RT @SFAT: Dang that set was in reeeeaaach, but ultimately made the goal of Top 5, got the Summit spot AND won teams with my boy @CLG_PewPew…"
0.5707,Mon Mar 26 00:25:35 +0000 2018,0.0,0.862,0.138,@clgaming,1,"An incredible run for @SFAT will come to an end here in 5th place at#FB4!
GG's to Mang0 and congrats again to SFAT… https://t.co/lIsJ9kR6ai"
-0.2481,Mon Mar 26 00:07:03 +0000 2018,0.165,0.715,0.121,@clgaming,1,"With the Summit spot secured, @SFAT looks to take down Mang0 next in Losers Quarterfinals! #CLGFIGHTING

📺… https://t.co/UJPC76HqVC"
0.4926,Sun Mar 25 23:24:40 +0000 2018,0.0,0.868,0.132,@clgaming,1,"RT @BTSsmash: As #FB4 comes to an end, we are thrilled to announce the next two #SmashSummit 6 attendees @SFAT and @n0ned ! Congratulations…"
0.7163,Sun Mar 25 22:57:46 +0000 2018,0.0,0.77,0.23,@clgaming,1,It's time for the #FB4 Top 8! @SFAT gets things started facing off against S2J! Tune in and cheer him on!… https://t.co/jncNFBIexg
0.5093,Sun Mar 25 19:54:00 +0000 2018,0.13,0.575,0.295,@clgaming,1,RT @SFAT: Made Top 8 losers side at #FB4. Playing the winner of @Tempo_S2J or @ssbDuck at 6pm EDT! #CLGFIGHTING
0.855,Sun Mar 25 19:31:28 +0000 2018,0.0,0.581,0.419,@clgaming,1,".@SFAT faces HugS on the main stage! Winner moves on to Top 8! #CLGFIGHTING

📺 https://t.co/vVzuRwuLEc https://t.co/dOyVhkrGwg"
0.8765,Sun Mar 25 19:19:39 +0000 2018,0.106,0.535,0.359,@clgaming,1,"RT @CLG_PewPewU: Unfortunately lost to Ducky, but I made big inprovements in the matchup, just as I prepared for. I love it.

Thank you all…"
-0.4003,Sun Mar 25 19:16:39 +0000 2018,0.124,0.876,0.0,@clgaming,1,.@CLG_PewPewU unfortunately falls 0-3 and his run at #FB4 will come to a close here in 13th place. GGWP Duck! #CLGFIGHTING
-0.5707,Sun Mar 25 18:59:47 +0000 2018,0.209,0.791,0.0,@clgaming,1,"The Losers run continues for @CLG_PewPewU as he takes on Duck next! #CLGFIGHTING

📺 https://t.co/8hZNGZC5ez https://t.co/PaReGJ09UZ"
-0.4389,Sun Mar 25 18:27:58 +0000 2018,0.164,0.756,0.08,@clgaming,1,"Moving on, @SFAT now takes on Shroomed in Losers Top 16! Let's keep it going #CLGFIGHTING #FB4

📺… https://t.co/GVipQGBaPK"
0.8034,Sun Mar 25 18:01:28 +0000 2018,0.0,0.744,0.256,@clgaming,1,"RT @CLG_PewPewU: Won't be reading notifications. But I beat Swedish 3-1 with my lil doge Fox :D

Keep watching! Keep supporting and keep ch…"
0.0,Sun Mar 25 17:49:41 +0000 2018,0.0,1.0,0.0,@clgaming,1,"Double #CLGSmash action!  @SFAT faces off against KJH on the secondary stream! #CLGFIGHTING

📺… https://t.co/tzGGwXdrN9"
-0.4389,Sun Mar 25 17:40:38 +0000 2018,0.224,0.667,0.109,@clgaming,1,".@CLG_PewPewU is up against Swedish in Losers Top 24! #CLGFIGHTING #FB4

📺 https://t.co/oFTOCvPbJ7 https://t.co/oE64QNftMa"
-0.7959,Sun Mar 25 16:23:44 +0000 2018,0.307,0.583,0.11,@clgaming,1,"@SFAT .@SFAT falls to Zain but will still be alive in the Losers bracket. GGWP!

Time for a Losers bracket run #CLGFIGHTING"
0.0,Sun Mar 25 16:06:17 +0000 2018,0.0,1.0,0.0,@clgaming,1,"It's now @SFAT's turn as he faces Zain on the main stage! Let's go 👊! #CLGFIGHTING #FB4

📺 https://t.co/oFTOCvPbJ7 https://t.co/HiIz6pCWmH"
-0.6103,Sun Mar 25 15:41:32 +0000 2018,0.199,0.801,0.0,@clgaming,1,GGs aMSa! @CLG_PewPewU will have to pick up back up in the Losers bracket. Stay tuned! #CLGFIGHTING
0.6688,Sun Mar 25 15:27:55 +0000 2018,0.0,0.785,0.215,@clgaming,1,#CLGSmash is live on Day 2 of #FB4! @CLG_PewPewU is up on the 2nd steam facing aMSa in Winners Top 48! #CLGFIGHTING… https://t.co/F6Y0DaHsPu
