Team,Twitter_Compound_Score,Region,Wins,Losses,Win_Rate,Subscriber_Count,Youtube_Compound_Score,View_Count,Average Compound Score
Vitality,0.238435,Europe,10,8,0.555555556,34766,0.127185,1734004,0.18281
Giants,0.262449,Europe,7,11,0.388888889,22093,0.158916,1331208,0.2106825
H2K,0.1995635,Europe,8,10,0.444444444,21116,0.274111,2766980,0.23683725
Unicorns of Love,0.438645,Europe,6,12,0.333333333,20320,0.012209,1518114,0.225427
Echo Fox,0.2607975,North America,12,7,0.631578947,16680,0.108619792,972556,0.184708646
Splyce,0.113377,Europe,11,8,0.578947368,10903,0.249024,532979,0.1812005
