Team,Twitter_Compound_Score,Region,Wins,Losses,Win_Rate,Subscriber_Count,Youtube_Compound_Score,View_Count,Average Compound Score
OpTic Gaming,0.2053675,North America,5,13,0.277777778,1410355,0.397646,113308492,0.30150675
TSM,0.26630804,North America,13,7,0.65,693435,0.220366,147570008,0.24333702
Fnatic,0.2214865,Europe,14,4,0.777777778,323073,0.351237,35207380,0.28636175
Cloud9,0.1382935,North America,12,8,0.6,204420,0.169371,20305310,0.15383225
ROCCAT,0.159125,Europe,8,10,0.444444444,177313,0.121082,12217414,0.1401035
100 Thieves,0.172565693,North America,13,6,0.684210526,139501,0.304155,2679560,0.238360347
Team Liquid,0.231023,North America,12,8,0.6,113675,0.313538,12608826,0.2722805
G2 Esports,0.2369115,Europe,12,7,0.631578947,88430,-0.018238,6988252,0.10933675
Counter Logic Gaming,0.3114335,North America,7,11,0.388888889,69465,0.055084,5202114,0.18325875
