Team,Twitter_Compound_Score,Region,Wins,Losses,Win_Rate,Subscriber_Count,Youtube_Compound_Score,View_Count,Average Compound Score
G2 Esports,0.2369115,Europe,12,7,0.631578947,88430,-0.018238,6988252,0.10933675
Counter Logic Gaming,0.3114335,North America,7,11,0.388888889,69465,0.055084,5202114,0.18325875
H2K,0.1995635,Europe,8,10,0.444444444,21116,0.274111,2766980,0.23683725
100 Thieves,0.172565693,North America,13,6,0.684210526,139501,0.304155,2679560,0.238360347
Vitality,0.238435,Europe,10,8,0.555555556,34766,0.127185,1734004,0.18281
Unicorns of Love,0.438645,Europe,6,12,0.333333333,20320,0.012209,1518114,0.225427
Giants,0.262449,Europe,7,11,0.388888889,22093,0.158916,1331208,0.2106825
Echo Fox,0.2607975,North America,12,7,0.631578947,16680,0.108619792,972556,0.184708646
Misfits Gaming,0.20048,Europe,8,10,0.444444444,9937,0.193417,850439,0.1969485
