Team,Twitter_Compound_Score,Region,Wins,Losses,Win_Rate,Subscriber_Count,Youtube_Compound_Score,View_Count,Average Compound Score
Splyce,0.113377,Europe,11,8,0.578947368,10903,0.249024,532979,0.1812005
FC Schalke 04 Esports,-0.094096,Europe,7,11,0.388888889,3619,0.2005,217155,0.053202
FlyQuest,0.249222,North America,6,12,0.333333333,4129,0.443266667,193456,0.346244333
Golden Guardians,0.290502,North America,4,14,0.222222222,1808,0.141151,80929,0.2158265
Clutch Gaming,0.217552,,11,9,0.55,2245,0.146872,55209,0.182212
