Team,Twitter_Compound_Score,Region,Wins,Losses,Win_Rate,Subscriber_Count,Youtube_Compound_Score,View_Count,Average Compound Score
Misfits Gaming,0.20048,Europe,8,10,0.444444444,9937,0.193417,850439,0.1969485
FlyQuest,0.249222,North America,6,12,0.333333333,4129,0.443266667,193456,0.346244333
FC Schalke 04 Esports,-0.094096,Europe,7,11,0.388888889,3619,0.2005,217155,0.053202
Clutch Gaming,0.217552,North America,11,9,0.55,2245,0.146872,55209,0.182212
Golden Guardians,0.290502,North America,4,14,0.222222222,1808,0.141151,80929,0.2158265
